Rval = 0x01100005, AmbaDSP_ImgConfigComponentIF.c, img_cfg_query_flow_control_memory_size(), ID = 0, description : test null ptr fail case
Rval = 0x01100005, AmbaDSP_ImgConfigComponentIF.c, img_cfg_init_flow_tbl_list(), ID = 32, description : test NULL ptr fail case
Rval = 0x01100008, AmbaDSP_ImgConfigComponentIF.c, img_cfg_init_flow_tbl_list(), ID = 33, description : test (p_ability->pipe == AMBA_IK_PIPE_VIDEO) false case
Rval = 0x01100008, AmbaDSP_ImgConfigComponentIF.c, img_cfg_init_flow_tbl_list(), ID = 34, description : test (p_ability->video_pipe < AMBA_IK_VIDEO_MAX) false case
Rval = 0x00000000, AmbaDSP_ImgConfigComponentIF.c, img_cfg_init_flow_tbl_list(), ID = 35, description : test (p_ability->pipe == AMBA_IK_PIPE_STILL) false case
Rval = 0x00000000, AmbaDSP_ImgConfigComponentIF.c, img_cfg_amalgam_data_update(), ID = 36, description : test some CR lists are NULL case
Rval = 0x01100003, AmbaDSP_ImgConfigComponentIF.c, img_cfg_amalgam_data_ctx_update(), ID = 37, description : test get ctx fail case
Rval = 0x01100005, AmbaDSP_ImgConfigComponentIF.c, img_cfg_query_debug_flow_data_size(), ID = 38, description : test NULL ptr fail case
Rval = 0x01100005, AmbaDSP_ImgConfigComponentIF.c, img_cfg_set_cr_memory_fence(), ID = 39, description : test NULL ptr fail case
Rval = 0x01100005, AmbaDSP_ImgConfigComponentIF.c, img_cfg_set_cr_memory_fence(), ID = 40, description : test NULL ptr fail case
Rval = 0x01100008, AmbaDSP_ImgConfigComponentIF.c, img_cfg_set_cr_memory_fence(), ID = 41, description : test (p_ability->pipe == AMBA_IK_PIPE_VIDEO) false case
Rval = 0x01100008, AmbaDSP_ImgConfigComponentIF.c, img_cfg_set_cr_memory_fence(), ID = 42, description : test (p_ability->video_pipe < AMBA_IK_VIDEO_MAX) false case
Rval = 0x00000000, AmbaDSP_ImgConfigComponentIF.c, img_cfg_set_cr_memory_fence(), ID = 43, description : test (p_ability->pipe == AMBA_IK_PIPE_STILL) false case
Rval = 0x01100005, AmbaDSP_ImgConfigComponentIF.c, img_cfg_init_cr_memory_fence(), ID = 44, description : test NULL ptr fail case
