Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_hdr_address(), ID = 0, description : test case FILTER_RAW_COMPRESSION CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 51, description : test (p_update_flag->iso.dzoom_info_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 52, description : test (p_update_flag->iso.vin_active_win_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 53, description : test (p_update_flag->iso.stitching_info_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 54, description : test (p_update_flag->iso.flip_mode_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 55, description : test (p_update_flag->iso.warp_enable_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_update_liso_sect_header(), ID = 56, description : test if(p_flow_tbl->sect_header_addr[0][SECT_CFG_INDEX_SEC4] != 0u) false OK case
Rval = 0x01100205, AmbaDSP_ImgExecuterComponentIF.c, _ring_buf_checker(), ID = 57, description : test update case ring buffer error case
Rval = 0x01100205, AmbaDSP_ImgExecuterComponentIF.c, _ring_buf_checker(), ID = 58, description : test non-update case ring buffer error case
Rval = 0x01100204, AmbaDSP_ImgExecuterComponentIF.c, iks_cr_memory_fence_check(), ID = 59, description : test cr mem fence error case
Rval = 0x01100203, AmbaDSP_ImgExecuterComponentIF.c, exe_iks_check_ctx_mem_fence(), ID = 60, description : test ctx mem fence error case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_iks_trans_crc_check_list(), ID = 61, description : test if(p_ctx->filters.crc_check_list.hdr_blend != 0u) false OK case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_cr_utilities(), ID = 62, description : test default fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_cr_utilities(), ID = 63, description : test pipe != AMBA_IK_PIPE_VIDEO fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_update_cr(), ID = 64, description : test iks_arch_get_ik_working_buffer fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_update_cr(), ID = 65, description : test if(p_iks_buffer_info->safety_state != IK_SAFETY_STATE_ERROR) false case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_update_cr(), ID = 66, description : test if(flow_idx != src_flow_idx) false OK case
Rval = 0x01100100, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_filter_r2y_4_update_check(), ID = 67, description : test if (p_update_flag->iso.advance_spatial_filter_updated != 1U) true fail case
Rval = 0x01100100, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_filter_r2y_4_update_check(), ID = 68, description : test if (p_update_flag->iso.fstshpns_xxx_updated != 1U) true fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_first_cr(), ID = 69, description : test iks_arch_get_ik_working_buffer fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_first_cr(), ID = 70, description : test if(p_iks_buffer_info->safety_state != IK_SAFETY_STATE_ERROR) false case
Rval = 0x01100203, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_first_cr(), ID = 71, description : test if(rval == IK_OK) false by ctx mem fence error case
Rval = 0x01100204, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_first_cr(), ID = 72, description : test if(rval == IK_OK) false by cr mem fence error case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_first_cr(), ID = 73, description : test if(p_ctx->filters.input_param.select_crc_check_list_injection != 0U) true OK case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_init_executer(), ID = 74, description : test pipe != AMBA_IK_PIPE_VIDEO fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_init_executer(), ID = 75, description : test video_pipe out of range fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_inject_safety_error(), ID = 76, description : test default fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_iks_calc_crc32_sec4_cr(), ID = 77, description : test exe_iks_calc_crc32_sec4_cr OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_iks_calc_crc32_flow_tbl_cr(), ID = 78, description : test (p_ctx->filters.crc_check_list.cawarp/warp != 0u) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_iks_calc_crc32_cr(), ID = 79, description : test if(p_ctx->filters.input_param.safety_info.update_freq == 0u) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_first_cr(), ID = 80, description : test if(p_iks_buffer_info->safety_crc_enable == 1u) false OK case
Rval = 0x01100100, AmbaDSP_ImgExecuterComponentIF.c, iks_exe_execute_filter_update_check(), ID = 81, description : test iks_exe_execute_filter_update_check fail NG case
Rval = 0x01100105, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range_non_zero(), ID = 82, description : test invalid CA vin size fail case
Rval = 0x01100105, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range_win_size(), ID = 83, description : test invalid CA win size fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 84, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 85, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 86, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 87, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 88, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 89, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 90, description : test invalid CA SubSmp fail case
Rval = 0x0110010D, AmbaDSP_ImgExecuterUnitCaWarp.c, check_cawarp_valid_range(), ID = 91, description : test invalid CA SubSmp fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_setup_cawarp_horz_grid_size(), ID = 92, description : test if (p_result_win->cfa_win_dim.width > stitch_threshold) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_setup_cawarp_horz_grid_size(), ID = 93, description : test if(((p_result_win->cfa_win_dim.width >> 1UL) + 128UL) > stitch_threshold) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_setup_cawarp_vert_grid_size(), ID = 94, description : test if (p_result_win->cfa_win_dim.width > stitch_threshold) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_setup_cawarp_vert_grid_size(), ID = 95, description : test if(((p_result_win->cfa_win_dim.width >> 1UL) + 128UL) > stitch_threshold) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_cawarp_calc_preproc_horz_table(), ID = 96, description : test (p_info->is_group_cmd == 1u) true OK case
Rval = 0x01100005, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_cawarp_calc(), ID = 97, description : test NULL ptr fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_cawarp_calc(), ID = 98, description : test flip OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_ca_warp_internal(), ID = 99, description : test stitch enable OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitCaWarp.c, iks_ca_warp_internal(), ID = 100, description : test stitch + cawarp enable OK case
Rval = 0x01100101, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range_non_zero(), ID = 101, description : test invalid warp vin start offset fail case
Rval = 0x01100101, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range_non_zero(), ID = 102, description : test invalid warp vin win size fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 103, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 104, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 105, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 106, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 107, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 108, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 109, description : test invalid warp SubSmp fail case
Rval = 0x01100109, AmbaDSP_ImgExecuterUnitWarp.c, check_warp_valid_range(), ID = 110, description : test invalid warp SubSmp fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, img_dsp_core_calc_intpl_scale_offset(), ID = 111, description : test normal OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, img_dsp_core_calc_intpl_scale_offset(), ID = 112, description : test flip OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_setup_warp_phase_size(), ID = 113, description : test if (act_prime_h_q16 > (p_window_size_info->main_win.height << SFT)) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_setup_warp_phase_size_internal(), ID = 114, description : test if (act_prime_h_q16 > (p_window_size_info->main_win.height<<SFT)) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_setup_warp_phase_size(), ID = 115, description : test if(p_dmy_range->enable == 0u) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_setup_vwarp_dma(), ID = 116, description : test if(p_filters->input_param.warp_buf_info.luma_dma_size != 0u) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_calc_set_warp_control(), ID = 117, description : test stitch enable OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_calc_set_warp_window(), ID = 118, description : test (dma_flip_v == 0U) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_calc_preproc_horz_table(), ID = 119, description : test (p_info->is_group_cmd == 1u) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_calc_set_hdrag(), ID = 120, description : test if(((((uint32)p_info->p_geo_warp_control->cfa_output_width >> 1UL) + 128UL) > stitch_threshold) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_calc_set_hdrag(), ID = 121, description : test (Stitch>0UL) true OK case
Rval = 0x01100005, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_calc_set_hdrag(), ID = 122, description : test NULL ptr fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_internal(), ID = 123, description : test stitch enable OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWarp.c, iks_warp_internal(), ID = 124, description : test stitch + warp enable OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 125, description : test (factor == 1UL) OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 126, description : test (factor == 2UL) OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 127, description : test (factor == 4UL) OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 128, description : test (factor == 8UL) OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 129, description : test (factor == 16UL) OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 130, description : test (factor == 32UL) OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitVignette.c, get_shift_value(), ID = 131, description : test else OK case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitStaticBadPixel.c, iks_sbp_map_offset(), ID = 132, description : test invalid offset_x NG case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitStaticBadPixel.c, iks_sbp_map_offset(), ID = 133, description : test invalid offset_x NG case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitStaticBadPixel.c, iks_sbp_map_offset(), ID = 134, description : test p_curr_geo->width not 32 align NG case
Rval = 0x01100101, AmbaDSP_ImgExecuterUnitConfig.c, exe_iso_cfg_check_raw2yuv_chroma_filter(), ID = 135, description : test sec2_chroma_hscale_phase_inc out of range NG case
Rval = 0x01100101, AmbaDSP_ImgExecuterUnitConfig.c, exe_iso_cfg_check_raw2yuv_chroma_filter(), ID = 136, description : test sec2_chroma_vscale_phase_inc out of range NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_hdr_blend(), ID = 137, description : test exp_num <=1 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_hdr_tone_curve(), ID = 138, description : test decompand_enable true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce(), ID = 139, description : test sensor_pattern for ce luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce(), ID = 140, description : test sensor_pattern for ce luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce(), ID = 141, description : test sensor_pattern for ce luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce(), ID = 142, description : test sensor_pattern for ce luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_decompress(), ID = 143, description : test sensor_info.compression >= 256 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_decompress(), ID = 144, description : test sensor_info.compression < 256 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, iks_set_hdr_exp(), ID = 145, description : test shutter_ratio == 0 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_hdr_exp(), ID = 146, description : test 0 < compression < 9 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_hdr_exp(), ID = 147, description : test (p_filters->input_param.sensor_info.sensor_mode==1U) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce_fe(), ID = 148, description : test sensor_pattern for ce_fe luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce_fe(), ID = 149, description : test sensor_pattern for ce_fe luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce_fe(), ID = 150, description : test sensor_pattern for ce_fe luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_ce_fe(), ID = 151, description : test sensor_pattern for ce_fe luma avg. weight OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_sec2_bayer_pattern(), ID = 152, description : test H and V flip OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_set_vin_sensor(), ID = 153, description : test 0 < compression < 9 false OK case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_set_vin_sensor(), ID = 154, description : test incorrect sensor_mode for rgbir NG case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_set_vin_sensor(), ID = 155, description : test incorrect sensor_mode for rgbir NG case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_set_vin_sensor(), ID = 156, description : test incorrect sensor_mode for rgbir NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_set_vin_sensor(), ID = 157, description : test sensor_mode for rgbir OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_vig(), ID = 158, description : test vig calib_mode_enable OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 159, description : test internal mode dram_efficiency == 2 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 160, description : test normal mode wait_line == 0 default OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 161, description : test normal mode different wait_line default value OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 162, description : test normal mode different wait_line default value OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 163, description : test normal mode different wait_line default value OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 164, description : test normal mode dram_efficiency == 1 wait_line default value OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, liso_idsp_first_set_warp_radius(), ID = 165, description : test yuv_mode = 0 but ability is not Y2Y OK case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, iks_set_sbp(), ID = 166, description : test _liso_idsp_first_set_sbp ring buf error NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, iks_set_sbp(), ID = 167, description : test iks_sbp_map_offset != 0 OK case
