Rval = 0x00000000, AmbaDSP_ImageUtility.c, AmbaIK_QueryArchMemorySize(), ID = 0, description : OK case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec2(), ID = 81, description : wron cr_id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec3(), ID = 82, description : wron cr_id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec3(), ID = 83, description : wron cr_id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec4(), ID = 84, description : wron cr_id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec4(), ID = 85, description : wron cr_id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec18(), ID = 86, description : wron cr_id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec18(), ID = 87, description : wron cr_id fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache(), ID = 88, description : null-ptr fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, exe_flow_ctrl_ring_check(), ID = 89, description : null-ptr fail case
Rval = 0x01100204, AmbaDSP_ImgExecuterComponentIF.c, ik_cr_memory_fence_check(), ID = 90, description : CR fence corruption fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, exe_get_previous_flow_control_index(), ID = 91, description : null-ptr fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_previous_flow_control_index(), ID = 92, description : invalid previous_count fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_4(), ID = 93, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_4(), ID = 94, description : flow_idx fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_3(), ID = 95, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_3(), ID = 96, description : flow_idx fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_2(), ID = 97, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_2(), ID = 98, description : flow_idx fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_1(), ID = 99, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_cr_mem_fence_1(), ID = 100, description : flow_idx fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_flow_tbl_memory_fence(), ID = 101, description : ctx-id fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_ctx_mem_fence_2(), ID = 102, description : ctx-id fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_check_ctx_mem_fence_2(), ID = 103, description : ctx-id fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_inject_safety_error_mem_fence(), ID = 104, description : OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_inject_safety_crc_mismatch_error(), ID = 105, description : OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_set_frame_info(), ID = 106, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_invalid_cr(), ID = 107, description : test fail case
Rval = 0x01100200, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_safety_cr(), ID = 108, description : test fail case
Rval = 0x01100100, AmbaDSP_ImgExecuterComponentIF.c, filter_update_check_asf_fstshp(), ID = 109, description : test fail case
Rval = 0x01100100, AmbaDSP_ImgExecuterComponentIF.c, filter_update_check_asf_fstshp(), ID = 110, description : test fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, filter_update_check_non_linear(), ID = 111, description : OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_first_cr(), ID = 112, description : ctx-id fail case
Rval = 0x01100002, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_first_cr(), ID = 113, description : non-init ctx fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_first_cr(), ID = 114, description : get flow_ctr fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 115, description : ctx-id fail case
Rval = 0x01100002, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 116, description : non-init ctx fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 117, description : get flow_ctr fail case
Rval = 0x01100200, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 118, description : test already enter safety state fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, uint32_min_ik(), ID = 119, description : uint32_min_ik(0, 1) = 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_select_crc_check_list(), ID = 120, description : test get ctx fail NG case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_hdr(), ID = 121, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_hdr(), ID = 122, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_cfa(), ID = 123, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_cfa(), ID = 124, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_rgb(), ID = 125, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_rgb(), ID = 126, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_yuv(), ID = 127, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_yuv(), ID = 128, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec3(), ID = 129, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec3(), ID = 130, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec4(), ID = 131, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec4(), ID = 132, description : test ability.pipe == HDR or CE OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec4(), ID = 133, description : test ability.pipe == HDR or CE OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec4(), ID = 134, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec18(), ID = 135, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32_sec18(), ID = 136, description : test crc_check_list are 0 OK case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32(), ID = 137, description : test get ctx fail NG case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32(), ID = 138, description : test crc_check_list are 0 OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_ik_calc_crc32(), ID = 139, description : test if(p_ctx->filters.input_param.safety_info.update_freq == 0u) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_first_cr(), ID = 140, description : test if(p_ik_buffer_info->safety_crc_enable == 1u) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 141, description : test if(p_ik_buffer_info->safety_crc_enable == 1u) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_first_cr(), ID = 142, description : test (p_ctx->filters.input_param.safety_info.update_freq == 1u) false and ((((uint32)p_ctx->organization.active_cr_state.cr_running_number - 1u) % p_ctx->filters.input_param.safety_info.update_freq) == 0u) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 143, description : test (p_ctx->filters.input_param.safety_info.update_freq == 1u) false and ((((uint32)p_ctx->organization.active_cr_state.cr_running_number - 1u) % p_ctx->filters.input_param.safety_info.update_freq) == 0u) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_first_cr(), ID = 144, description : test (p_ctx->filters.input_param.safety_info.update_freq == 1u) false and ((((uint32)p_ctx->organization.active_cr_state.cr_running_number - 1u) % p_ctx->filters.input_param.safety_info.update_freq) == 0u) false OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_execute_update_cr(), ID = 145, description : test (p_ctx->filters.input_param.safety_info.update_freq == 1u) false and ((((uint32)p_ctx->organization.active_cr_state.cr_running_number - 1u) % p_ctx->filters.input_param.safety_info.update_freq) == 0u) false OK case
